gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
1e-10,4.999999967705237e-06,1.9894744241750484e-06,-6.775569724169677e-06,8.476084235086303e-06,1.70051451091662e-06,9.999999999999996e-11,4.530571037366054e-09,3.2561608549692114e-08
1.7575106248547894e-10,5.000000025349459e-06,1.989890374904899e-06,-6.789410332042727e-06,8.493456368108734e-06,1.7040460360660328e-06,1.7575106248547894e-10,4.5406298506023325e-09,3.2041645023423385e-08
3.088843596477485e-10,4.999999956396341e-06,1.990411045768598e-06,-6.806966055630062e-06,8.515491380207061e-06,1.708525324576993e-06,3.0888435964774845e-10,4.553392135748689e-09,3.5651538050412475e-08
5.428675439323859e-10,4.999999954815588e-06,1.9923518314052778e-06,-6.871248668300911e-06,8.596173238361057e-06,1.7249245700601264e-06,5.42867543932386e-10,4.600123594494863e-09,2.782565704911581e-08
9.540954763499925e-10,4.999999997003239e-06,1.996794117953715e-06,-7.018991344745819e-06,8.781600164805883e-06,1.7626088200600232e-06,9.54095476349993e-10,4.7076198697360615e-09,2.1654232470303663e-08
1.67683293681101e-09,5.0000000265342485e-06,1.9967978932348716e-06,-7.020423409429313e-06,8.783404604215827e-06,1.762981194786524e-06,1.6768329368110107e-09,4.70870531085946e-09,3.6013564454962486e-08
2.94705170255181e-09,4.999999830719689e-06,2.0085303724490757e-06,-7.412691980566733e-06,9.275625921640354e-06,1.8629339410736217e-06,2.9470517025518123e-09,4.994589739364137e-09,2.6216290293667062e-08
5.179474679231202e-09,4.99999999846909e-06,2.024412680024646e-06,-7.948167301498053e-06,9.947383245926947e-06,1.999215944428888e-06,5.179474679231208e-09,5.3861710724832035e-09,2.5368588071476374e-08
9.102981779915227e-09,4.999999913480475e-06,2.1146933052598697e-06,-1.1007282612136836e-05,1.3783656933178705e-05,2.7763743210419024e-06,9.102981779915237e-09,7.658500961660904e-09,1.2851178154908449e-08
1.5998587196060573e-08,4.999999992484502e-06,2.164241971009703e-06,-1.2668756859648547e-05,1.5866293379360773e-05,3.197536519712264e-06,1.5998587196060596e-08,8.919188008840677e-09,1.594596848194989e-08
