gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
1e-10,4.999999926260006e-06,1.5756852800211e-06,-4.411134955740963e-06,5.239161535789522e-06,8.280265800485546e-07,9.999999999999995e-11,4.269189096150032e-09,4.621931930077839e-08
1.7575106248547894e-10,5.000000005736145e-06,1.5757350211306456e-06,-4.414221684276329e-06,5.242840088527264e-06,8.286184042509404e-07,1.7575106248547894e-10,4.272454237927495e-09,5.4953432202696084e-08
3.0888435964774845e-10,4.999999911704935e-06,1.576012687586076e-06,-4.427555061357156e-06,5.258731490001293e-06,8.311764286441345e-07,3.088843596477484e-10,4.286549545617389e-09,4.4004571741927456e-08
5.428675439323858e-10,4.999999931359949e-06,1.576578796167684e-06,-4.455616119389818e-06,5.292174730931098e-06,8.365586115412746e-07,5.42867543932386e-10,4.316218960627592e-09,3.6401952326178784e-08
9.540954763499923e-10,5.000000028783877e-06,1.5774128832350997e-06,-4.497697219239799e-06,5.342326414929935e-06,8.446291956901275e-07,9.54095476349993e-10,4.360735293535352e-09,3.5379981440658634e-08
1.6768329368110102e-09,4.999999981191761e-06,1.579423266157981e-06,-4.598978952686994e-06,5.46302895841093e-06,8.640500057239306e-07,1.6768329368110107e-09,4.467960770195168e-09,3.040115957627029e-08
2.9470517025518102e-09,5.000000040687341e-06,1.5814648482346114e-06,-4.70328784729292e-06,5.58733846773524e-06,8.840506204423173e-07,2.9470517025518123e-09,4.578568053588568e-09,3.4245520192175444e-08
5.1794746792312025e-09,5.0000008221934464e-06,1.5890335656596918e-06,-5.089628689325852e-06,6.0477090011774285e-06,9.580803118515851e-07,5.179474679231208e-09,4.98933189749444e-09,2.6818829688272565e-08
9.102981779915229e-09,5.000000570499218e-06,1.593858572831562e-06,-5.342225061928848e-06,6.3486689214869365e-06,1.0064438595580882e-06,9.102981779915235e-09,5.2590163004081586e-09,3.343703319155816e-08
1.5998587196060573e-08,4.999999986308643e-06,1.6294968738248608e-06,-7.047918487592424e-06,8.379947331949127e-06,1.332028844356706e-06,1.5998587196060596e-08,7.0994661327105505e-09,2.1147118438832992e-08
2.8117686979742307e-08,4.999999897099779e-06,1.65850676463893e-06,-8.323570317513616e-06,9.898393449259532e-06,1.5748231317459102e-06,2.8117686979742304e-08,8.502334761992741e-09,2.4157164578535608e-08
4.941713361323839e-08,4.999999991552508e-06,1.6186795499117224e-06,-6.6011311339767225e-06,7.848067360182189e-06,1.2469362262054603e-06,4.941713361323847e-08,6.616325475031815e-09,6.598667568676303e-08
8.68511373751352e-08,4.999999998637527e-06,1.713497599759598e-06,-1.0767427896447696e-05,1.280548476096291e-05,2.038056864515216e-06,8.685113737513507e-08,1.125798048940202e-08,4.0662120102364854e-08
1.5264179671752333e-07,4.9999998969090925e-06,1.71434917990409e-06,-1.093057462458353e-05,1.299905592452716e-05,2.068481299943635e-06,1.526417967175234e-07,1.1451214489749508e-08,6.264167092649777e-08
2.682695795279728e-07,4.999999997643337e-06,2.1592097176928336e-06,-3.289980261597892e-05,3.90393389046091e-05,6.139536288630215e-06,2.682695795279729e-07,4.073111065881344e-08,1.54247406336268e-08
