gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
7.906043210907702e-06,5.000000079977013e-06,1.7454139387510169e-06,-4.4294874722641474e-05,5.198255416935411e-05,7.687679446712652e-06,7.906043210907702e-06,5.883645504921734e-08,5.479215942690145e-08
1.389495494373136e-05,5.000000003381586e-06,1.541604527538261e-06,-4.54850365904209e-05,5.306080745629362e-05,7.5757708658727675e-06,1.3894954943731364e-05,6.073102689496129e-08,5.769254915404749e-08
2.4420530945486497e-05,5.000000007057582e-06,1.3443343005131303e-06,-4.883752563906853e-05,5.651909619141979e-05,7.681570552351275e-06,2.442053094548651e-05,6.666248069355341e-08,4.6994533772950564e-08
4.291934260128778e-05,5.000000000915394e-06,1.197076323669151e-06,-4.841876198840458e-05,5.55073182725699e-05,7.08855628416521e-06,4.291934260128781e-05,6.732803001967227e-08,5.495607608757625e-08
7.543120063354608e-05,5.00000000227702e-06,1.1022618642149795e-06,-4.789047333714937e-05,5.431241417112272e-05,6.421940833973315e-06,7.543120063354601e-05,6.937694580187459e-08,6.365873081746145e-08
0.00013257113655901082,5.000000060349707e-06,9.862558780413558e-07,-5.5351503929100074e-05,6.201516188748124e-05,6.6636579583811695e-06,0.00013257113655901074,8.739076475317149e-08,3.243160399879288e-08
0.00023299518105153718,4.999999979569746e-06,1.0043896286153253e-06,-5.102773801517639e-05,5.6467980602615865e-05,5.44024258743949e-06,0.00023299518105153705,8.789770887190098e-08,6.353313204588176e-08
0.00040949150623804275,5.000000001719453e-06,1.0412291719538725e-06,-4.878903408695508e-05,5.330175306428609e-05,4.512718977331004e-06,0.0004094915062380429,9.555002457503295e-08,8.439149461884077e-08
0.0007196856730011514,5.000000021118478e-06,1.0934812738370017e-06,-4.853994745635596e-05,5.235516825632324e-05,3.815220799967301e-06,0.0007196856730011513,1.1335986555385366e-07,9.403279342199909e-08
0.0012648552168552957,4.999999997977956e-06,1.373893387972796e-06,-1.8082680115892756e-05,1.928035496075306e-05,1.1976748448603021e-06,0.001264855216855296,5.0342399510093915e-08,2.4321671553055314e-07
