gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
1e-10,4.1777958259729965e-06,1.295389096030179e-06,-3.6685574453749455e-06,4.356163283239433e-06,6.876058378644865e-07,9.999999999999995e-11,3.5217442362460705e-09,1.4769813110118954
2.154434690031886e-09,4.209436377980238e-06,1.3036882272003947e-06,-3.669706569162106e-06,4.357452044956132e-06,6.877454757940253e-07,2.1544346900318837e-09,3.5217442362460705e-09,1.4769813110118954
4.6415888336127735e-08,4.884216210103706e-06,1.4804459827185408e-06,-3.695339833834793e-06,4.386110506272077e-06,6.907706724372895e-07,4.6415888336127794e-08,3.5217442362460705e-09,0.564571238903567
1e-06,1.3796871587803509e-05,3.7554318746935128e-06,-1.2101786343480531e-06,1.318234116537235e-06,1.0805548218918129e-07,1.0000000000000004e-06,6.208592616247643e-29,0.2970784119819923
2.1544346900318823e-05,7.654665281146284e-05,1.7566475996702273e-05,-3.984032837115068e-06,4.686233306289391e-06,7.022004691743144e-07,2.1544346900318816e-05,6.208592616247643e-29,0.2970784119819923
0.0004641588833612,0.0001285282115445,2.3393787674470483e-05,-3.245448578219195e-06,3.873321991824779e-06,6.278734136055834e-07,0.0004641588833612,6.934507544640871e-23,0.3337624694292166
0.01,0.0001566179487805,2.402508270469937e-05,-3.1912197772723813e-06,3.824769131927781e-06,6.335493546553962e-07,0.01,6.934507544640871e-23,0.3337624694292166
0.2154434690031877,0.0002538172078896,2.3925324574091232e-05,-3.4027319615063307e-06,4.294420762021213e-06,8.916888005148836e-07,0.2154434690031877,6.934507544640871e-23,0.3337624694292166
4.641588833612772,0.0002137360475962,2.3226057957183504e-05,-3.7218416147460552e-06,5.127093846896071e-06,1.4052522321500102e-06,4.641588833612772,6.934507544640871e-23,0.3337624694292166
100.0,0.0001424884545789,2.056379382226992e-05,-3.498980218796589e-06,6.190811649541292e-06,2.6918314307447013e-06,100.00000000000004,6.934507544640871e-23,0.3337624694292166
